Pointing,Gl,Gb,RA,Dec
MMGPS_U_1032,-31.798911939575706,1.9502536684113778,15:47:16.66,-52:04:39.1
MMGPS_U_1033,-31.37354450210494,2.68701168199612,15:46:30.11,-51:14:7.89
MMGPS_U_1034,-31.798911939575706,3.4237696955808605,15:41:29.97,-50:54:36.88
MMGPS_U_1035,-31.37354450210494,4.160527709165603,15:40:50.57,-50:03:59.09
MMGPS_U_1036,-31.798911939575706,4.897285722750345,15:36:0.36,-49:43:33.64
MMGPS_U_1037,-31.37354450210494,5.634043736335087,15:35:27.31,-48:52:51.35
MMGPS_U_1038,-31.798911939575706,6.370801749919828,15:30:46.55,-48:31:34.74
MMGPS_U_1039,-31.37354450210494,7.107559763504572,15:30:19.1,-47:40:49.76
MMGPS_U_1040,-31.798911939575706,7.844317777089312,15:25:47.34,-47:18:45.02
MMGPS_U_1041,-31.37354450210494,8.581075790674056,15:25:24.84,-46:27:58.92
MMGPS_U_1042,-31.798911939575706,9.317833804258797,15:21:1.65,-46:05:8.82
MMGPS_U_1043,-31.37354450210494,10.054591817843537,15:20:43.49,-45:14:22.98
MMGPS_U_1044,-30.522809627163415,-10.574632562529235,16:57:47.29,-60:02:3.96
MMGPS_U_1045,-30.94817706463418,-9.837874548944493,16:51:5.13,-59:54:43.41
MMGPS_U_1046,-30.522809627163415,-9.10111653535975,16:48:38.47,-59:07:22.41
MMGPS_U_1047,-30.94817706463418,-8.36435852177501,16:42:8.82,-58:58:24.46
MMGPS_U_1048,-30.522809627163415,-7.627600508190268,16:39:58.68,-58:10:23.74
MMGPS_U_1049,-30.94817706463418,-6.890842494605526,16:33:41.48,-57:59:54.36
MMGPS_U_1050,-30.522809627163415,-6.154084481020783,16:31:46.4,-57:11:19.95
MMGPS_U_1051,-30.94817706463418,-5.417326467436042,16:25:41.48,-56:59:24.84
MMGPS_U_1052,-30.522809627163415,-4.6805684538513,16:24:0.07,-56:10:22.08
MMGPS_U_1053,-30.94817706463418,-3.9438104402665575,16:18:7.16,-55:57:6.61
MMGPS_U_1054,-30.522809627163415,-3.207052426681816,16:16:38.12,-55:07:40.21
MMGPS_U_1055,-30.94817706463418,-2.470294413097074,16:10:56.89,-54:53:9.43
MMGPS_U_1056,-30.522809627163415,-1.7335363995123316,16:09:38.98,-54:03:23.54
MMGPS_U_1057,-30.94817706463418,-0.9967783859275894,16:04:9.04,-53:47:42.16
MMGPS_U_1058,-30.522809627163415,-0.2600203723428489,16:03:1.15,-52:57:40.41
MMGPS_U_1059,-30.94817706463418,0.47673764124189333,15:57:42.09,-52:40:52.82
MMGPS_U_1060,-30.522809627163415,1.2134956548266356,15:56:43.17,-51:50:38.39
MMGPS_U_1061,-30.94817706463418,1.9502536684113778,15:51:34.55,-51:32:48.67
MMGPS_U_1062,-30.522809627163415,2.68701168199612,15:50:43.66,-50:42:24.36
MMGPS_U_1063,-30.94817706463418,3.4237696955808605,15:45:45.04,-50:23:36.27
MMGPS_U_1064,-30.522809627163415,4.160527709165603,15:45:1.31,-49:33:4.51
MMGPS_U_1065,-30.94817706463418,4.897285722750345,15:40:12.25,-49:13:21.55
MMGPS_U_1066,-30.522809627163415,5.634043736335087,15:39:34.9,-48:22:44.48
MMGPS_U_1067,-30.94817706463418,6.370801749919828,15:34:54.98,-48:02:9.85
MMGPS_U_1068,-30.522809627163415,7.107559763504572,15:34:23.27,-47:11:29.34
MMGPS_U_1069,-30.94817706463418,7.844317777089312,15:29:52.07,-46:50:6.03
MMGPS_U_1070,-30.522809627163415,8.581075790674056,15:29:25.36,-45:59:23.72
MMGPS_U_1071,-30.94817706463418,9.317833804258797,15:25:2.48,-45:37:14.45
MMGPS_U_1072,-30.522809627163415,10.054591817843537,15:24:40.19,-44:46:31.78
MMGPS_U_1073,-29.672074752221885,-10.574632562529235,17:01:45.98,-59:21:55.36
MMGPS_U_1074,-30.09744218969265,-9.837874548944493,16:55:11.0,-59:15:12.81
MMGPS_U_1075,-29.672074752221885,-9.10111653535975,16:52:42.44,-58:28:6.38
MMGPS_U_1076,-30.09744218969265,-8.36435852177501,16:46:19.12,-58:19:47.88
MMGPS_U_1077,-29.672074752221885,-7.627600508190268,16:44:6.5,-57:32:0.99
MMGPS_U_1078,-30.09744218969265,-6.890842494605526,16:37:54.84,-57:22:12.17
MMGPS_U_1079,-29.672074752221885,-6.154084481020783,16:35:56.82,-56:33:50.73
MMGPS_U_1080,-30.09744218969265,-5.417326467436042,16:29:56.71,-56:22:36.98
MMGPS_U_1081,-29.672074752221885,-4.6805684538513,16:28:12.0,-55:33:46.27
MMGPS_U_1082,-30.09744218969265,-3.9438104402665575,16:22:23.23,-55:21:12.71
MMGPS_U_1083,-29.672074752221885,-3.207052426681816,16:20:50.61,-54:31:57.39
MMGPS_U_1084,-30.09744218969265,-2.470294413097074,16:15:12.91,-54:18:8.85
MMGPS_U_1085,-29.672074752221885,-1.7335363995123316,16:13:51.22,-53:28:33.07
MMGPS_U_1086,-30.09744218969265,-0.9967783859275894,16:08:24.26,-53:13:34.07
MMGPS_U_1087,-29.672074752221885,-0.2600203723428489,16:07:12.44,-52:23:41.48
MMGPS_U_1088,-30.09744218969265,0.47673764124189333,16:01:55.85,-52:07:36.25
MMGPS_U_1089,-29.672074752221885,1.2134956548266356,16:00:52.92,-51:17:30.06
MMGPS_U_1090,-30.09744218969265,1.9502536684113778,15:55:46.33,-51:00:22.54
MMGPS_U_1091,-29.672074752221885,2.68701168199612,15:54:51.37,-50:10:5.59
MMGPS_U_1092,-30.09744218969265,3.4237696955808605,15:49:54.39,-49:51:59.45
MMGPS_U_1093,-29.672074752221885,4.160527709165603,15:49:6.56,-49:01:34.22
MMGPS_U_1094,-30.09744218969265,4.897285722750345,15:44:18.79,-48:42:32.85
MMGPS_U_1095,-29.672074752221885,5.634043736335087,15:43:37.34,-47:52:1.53
MMGPS_U_1096,-30.09744218969265,6.370801749919828,15:38:58.39,-47:32:8.1
MMGPS_U_1097,-29.672074752221885,7.107559763504572,15:38:22.62,-46:41:32.61
MMGPS_U_1098,-30.09744218969265,7.844317777089312,15:33:52.1,-46:20:50.02
MMGPS_U_1099,-29.672074752221885,8.581075790674056,15:33:21.37,-45:30:12.07
MMGPS_U_1100,-30.09744218969265,9.317833804258797,15:28:58.92,-45:08:43.01
MMGPS_U_1101,-29.672074752221885,10.054591817843537,15:28:32.66,-44:18:4.09
MMGPS_U_1102,-28.821339877280355,-10.574632562529235,17:05:36.25,-58:41:25.36
MMGPS_U_1103,-29.24670731475112,-9.837874548944493,16:59:8.28,-58:35:18.94
MMGPS_U_1104,-28.821339877280355,-9.10111653535975,16:56:38.14,-57:48:26.81
MMGPS_U_1105,-29.24670731475112,-8.36435852177501,16:50:21.05,-57:40:45.97
MMGPS_U_1106,-28.821339877280355,-7.627600508190268,16:48:6.29,-56:53:12.75
MMGPS_U_1107,-29.24670731475112,-6.890842494605526,16:42:0.11,-56:44:2.79
MMGPS_U_1108,-28.821339877280355,-6.154084481020783,16:39:59.49,-55:55:54.27
MMGPS_U_1109,-29.24670731475112,-5.417326467436042,16:34:4.18,-55:45:20.29
MMGPS_U_1110,-28.821339877280355,-4.6805684538513,16:32:16.49,-54:56:41.67
MMGPS_U_1111,-29.24670731475112,-3.9438104402665575,16:26:31.88,-54:44:48.52
MMGPS_U_1112,-28.821339877280355,-3.207052426681816,16:24:56.0,-53:55:44.44
MMGPS_U_1113,-29.24670731475112,-2.470294413097074,16:19:21.87,-53:42:36.74
MMGPS_U_1114,-28.821339877280355,-1.7335363995123316,16:17:56.71,-52:53:11.3
MMGPS_U_1115,-29.24670731475112,-0.9967783859275894,16:12:32.79,-52:38:53.38
MMGPS_U_1116,-28.821339877280355,-0.2600203723428489,16:11:17.33,-51:49:10.25
MMGPS_U_1117,-29.24670731475112,0.47673764124189333,16:06:3.31,-51:33:46.19
MMGPS_U_1118,-28.821339877280355,1.2134956548266356,16:04:56.62,-50:43:48.6
